id_commande,date_commande,id_client,ville,categorie,nom_produit,prix_unitaire,quantite,remise,cout_livraison,methode_paiement,canal_marketing,cout_marketing,statut_commande,chiffre_affaires,marge_brute,profit_net,mois,indicateur_retour,indicateur_annulation,nombre_commandes_par_client,valeur_vie_client
CMD100010,2025-10-06,C0325,Abidjan,Électronique,Produit_Électronique_24,305.29,3,0.09,8.43,Mobile Money,Instagram Ads,14.3,Livrée,833.44,375.05,352.32,2025-10,0,0,17,3522.07
CMD100011,2025-09-29,C0136,Cotonou,Électronique,Produit_Électronique_39,489.25,3,0.08,2.0,Carte,Instagram Ads,8.56,Livrée,1350.33,607.65,597.09,2025-09,0,0,12,4025.16
CMD100012,2025-12-10,C0373,Abidjan,Mode,Produit_Mode_25,41.91,2,0.08,7.62,Paiement à la livraison,Instagram Ads,8.38,Livrée,77.11,34.7,18.7,2025-12,0,0,22,4301.4
CMD100013,2025-09-08,C1310,Brazzaville,Mode,Produit_Mode_44,21.26,2,0.23,5.29,Mobile Money,Google Ads,4.33,Livrée,32.74,14.73,5.11,2025-09,0,0,4,210.25
CMD100014,2025-09-22,C1589,Abidjan,Électronique,Produit_Électronique_21,572.02,1,0.1,7.83,Carte,Email,1.51,Retournée,514.82,231.67,222.33,2025-09,1,0,4,607.51
CMD100015,2025-10-11,C0108,Dakar,Mode,Produit_Mode_14,55.99,2,0.25,8.87,Virement,Instagram Ads,12.98,Livrée,83.98,37.79,15.94,2025-10,0,0,20,5690.27
CMD100016,2025-12-15,C0329,Kinshasa,Mode,Produit_Mode_9,53.31,3,0.22,2.91,Virement,Instagram Ads,8.87,Livrée,124.75,56.14,44.36,2025-12,0,0,19,3070.77
CMD100017,2025-09-02,C1103,Cotonou,Maison,Produit_Maison_38,144.22,3,0.09,9.72,Paiement à la livraison,Instagram Ads,14.82,Livrée,393.72,177.17,152.63,2025-09,0,0,3,892.71
CMD100018,2025-10-11,C0070,Cotonou,Mode,Produit_Mode_49,30.98,3,0.27,3.29,Carte,Google Ads,6.21,Livrée,67.85,30.53,21.03,2025-10,0,0,17,2751.95
CMD100019,2025-07-13,C0313,Dakar,Maison,Produit_Maison_39,86.14,3,0.29,5.59,Paiement à la livraison,Instagram Ads,14.74,Livrée,183.48,82.57,62.24,2025-07,0,0,23,6123.14
CMD100020,2025-07-17,C0305,Kinshasa,Maison,Produit_Maison_36,119.81,3,0.03,6.72,Virement,Google Ads,6.18,Livrée,348.65,156.89,143.99,2025-07,0,0,18,5804.76
CMD100021,2025-07-03,C0234,Douala,Maison,Produit_Maison_50,104.67,3,0.04,5.99,Virement,Email,1.5,Livrée,301.45,135.65,128.16,2025-07,0,0,22,5856.39
CMD100022,2025-12-12,C0150,Lomé,Électronique,Produit_Beauté_1,10.73,2,0.05,8.82,Paiement à la livraison,Instagram Ads,14.28,Livrée,20.39,9.18,-13.92,2025-12,0,0,16,4210.52
CMD100023,2025-09-06,C1560,Kinshasa,Électronique,Produit_Électronique_41,370.82,3,0.1,2.56,Carte,Instagram Ads,8.73,Livrée,1001.21,450.54,439.25,2025-09,0,0,6,2960.22
CMD100024,2025-09-15,C1039,Dakar,Électronique,Produit_Électronique_24,243.32,2,0.07,8.47,Mobile Money,Influenceur,8.7,Livrée,452.58,203.66,186.49,2025-09,0,0,4,1123.31
CMD100025,2025-08-11,C0398,Cotonou,Beauté,Produit_Beauté_39,18.99,1,0.05,2.41,Carte,Instagram Ads,11.28,Livrée,18.04,8.12,-5.57,2025-08,0,0,13,2915.1
CMD100026,2025-09-21,C0057,Kinshasa,Maison,Produit_Maison_16,57.58,3,0.17,2.3,Virement,Instagram Ads,10.43,Livrée,143.37,64.52,51.79,2025-09,0,0,17,3611.37
CMD100027,2025-07-15,C0290,Abidjan,Beauté,Produit_Beauté_47,41.0,1,0.08,6.25,Carte,Email,1.43,Livrée,37.72,16.97,9.29,2025-07,0,0,22,4745.67
CMD100028,2025-11-02,C1557,Dakar,Électronique,Produit_Beauté_9,8.8,1,0.16,5.43,Mobile Money,Instagram Ads,12.44,Livrée,7.39,3.33,-14.54,2025-11,0,0,1,7.39
CMD100029,2025-12-16,C0281,Kinshasa,Beauté,Produit_Beauté_14,26.49,2,0.11,9.64,Paiement à la livraison,Instagram Ads,10.49,Livrée,47.15,21.22,1.09,2025-12,0,0,16,4948.62
CMD100030,2025-11-16,C1412,Douala,Maison,Produit_Maison_29,66.93,2,0.24,8.84,Virement,Instagram Ads,5.14,Livrée,101.73,45.78,31.8,2025-11,0,0,3,418.96
CMD100031,2025-11-10,C0126,Douala,Maison,Produit_Maison_38,193.75,2,0.08,9.59,Mobile Money,Google Ads,6.25,Livrée,356.5,160.42,144.58,2025-11,0,0,14,5553.25
CMD100032,2025-08-26,C0362,Kinshasa,Maison,Produit_Maison_5,247.48,1,0.07,6.6,Mobile Money,Instagram Ads,11.42,Livrée,230.16,103.57,85.55,2025-08,0,0,14,4266.66
CMD100033,2025-07-09,C0145,Dakar,Mode,Produit_Mode_43,41.26,1,0.1,4.19,Virement,Google Ads,6.26,Livrée,37.13,16.71,6.26,2025-07,0,0,15,3866.26
CMD100034,2025-11-02,C0067,Abidjan,Électronique,Produit_Électronique_16,413.24,3,0.13,2.95,Paiement à la livraison,Instagram Ads,13.45,Livrée,1078.56,485.35,468.95,2025-11,0,0,20,8476.42
CMD100035,2025-10-30,C0389,Dakar,Beauté,Produit_Beauté_23,21.56,2,0.15,6.61,Paiement à la livraison,Instagram Ads,14.68,Livrée,36.65,16.49,-4.8,2025-10,0,0,20,3907.84
CMD100036,2025-10-17,C0373,Kinshasa,Beauté,Produit_Beauté_4,28.94,3,0.09,9.22,Carte,Influenceur,5.65,Livrée,79.01,35.55,20.68,2025-10,0,0,22,4301.4
CMD100037,2025-10-12,C1639,Kinshasa,Mode,Produit_Mode_13,17.09,2,0.07,9.65,Mobile Money,Instagram Ads,5.53,Livrée,31.79,14.31,-0.87,2025-10,0,0,4,612.82
CMD100038,2025-08-18,C0071,Douala,Beauté,Produit_Beauté_5,18.17,1,0.1,2.73,Mobile Money,Instagram Ads,11.73,Livrée,16.35,7.36,-7.1,2025-08,0,0,17,3984.86
CMD100039,2025-10-22,C1753,Kinshasa,Mode,Produit_Mode_42,39.79,3,0.23,8.7,Carte,Instagram Ads,10.46,Livrée,91.91,41.36,22.2,2025-10,0,0,2,158.53
CMD100040,2025-11-16,C1984,Cotonou,Maison,Produit_Maison_11,62.42,1,0.07,4.97,Mobile Money,Google Ads,7.93,Livrée,58.05,26.12,13.22,2025-11,0,0,3,212.88
CMD100041,2025-10-13,C0109,Libreville,Beauté,Produit_Beauté_11,21.93,1,0.04,3.99,Carte,Email,1.22,Livrée,21.05,9.47,4.26,2025-10,0,0,8,1624.28
CMD100042,2025-10-06,C0199,Abidjan,Mode,Produit_Mode_19,31.39,2,0.08,9.7,Paiement à la livraison,Instagram Ads,6.18,Livrée,57.76,25.99,10.11,2025-10,0,0,13,3249.12
CMD100043,2025-10-17,C1496,Kinshasa,Mode,Produit_Mode_10,17.62,1,0.29,6.22,Paiement à la livraison,Instagram Ads,5.12,Livrée,12.51,5.63,-5.71,2025-10,0,0,2,140.19
CMD100044,2025-08-18,C0029,Kinshasa,Maison,Produit_Maison_48,138.95,2,0.1,7.9,Carte,Instagram Ads,7.94,Livrée,250.11,112.55,96.71,2025-08,0,0,13,4487.29
CMD100045,2025-09-19,C0299,Brazzaville,Maison,Produit_Maison_4,122.17,2,0.06,6.67,Mobile Money,Email,0.78,Livrée,229.68,103.36,95.91,2025-09,0,0,24,7660.82
CMD100046,2025-11-08,C0095,Brazzaville,Électronique,Produit_Électronique_44,170.48,2,0.02,6.91,Carte,Google Ads,7.75,Retournée,334.14,150.36,135.7,2025-11,1,0,27,6209.72
CMD100047,2025-08-30,C0291,Libreville,Électronique,Produit_Mode_40,45.44,2,0.09,5.01,Carte,Email,1.67,Livrée,82.7,37.21,30.53,2025-08,0,0,15,2854.63
CMD100048,2025-07-21,C0298,Abidjan,Beauté,Produit_Beauté_17,27.07,1,0.04,10.0,Virement,Email,0.58,Livrée,25.99,11.7,1.12,2025-07,0,0,14,2482.77
CMD100049,2025-08-22,C0643,Douala,Maison,Produit_Maison_30,169.3,1,0.08,4.2,Virement,Google Ads,4.03,Livrée,155.76,70.09,61.86,2025-08,0,0,3,687.32
CMD100050,2025-09-19,C1916,Cotonou,Électronique,Produit_Électronique_40,366.81,3,0.09,3.07,Paiement à la livraison,Email,1.34,Retournée,1001.39,450.63,446.22,2025-09,1,0,3,1172.84
CMD100051,2025-11-22,C0150,Lomé,Électronique,Produit_Électronique_9,389.95,1,0.08,7.09,Virement,Google Ads,7.9,Livrée,358.75,161.44,146.45,2025-11,0,0,16,4210.52
CMD100052,2025-09-28,C1800,Kinshasa,Mode,Produit_Mode_11,45.4,1,0.15,9.41,Virement,Google Ads,7.75,Livrée,38.59,17.37,0.21,2025-09,0,0,5,1957.7
CMD100053,2025-10-21,C1440,Abidjan,Mode,Produit_Mode_43,65.78,1,0.17,3.03,Carte,Influenceur,5.21,Livrée,54.6,24.57,16.33,2025-10,0,0,3,419.23
CMD100054,2025-11-19,C0339,Kinshasa,Électronique,Produit_Électronique_17,443.99,1,0.1,3.35,Mobile Money,Influenceur,4.65,Retournée,399.59,179.82,171.82,2025-11,1,0,19,4046.55
CMD100055,2025-07-30,C1520,Kinshasa,Électronique,Produit_Électronique_19,287.21,1,0.05,4.57,Virement,Email,1.84,Livrée,272.85,122.78,116.37,2025-07,0,0,5,1475.9
CMD100056,2025-12-02,C0175,Douala,Électronique,Produit_Électronique_33,414.7,3,0.01,3.67,Virement,Influenceur,6.95,Livrée,1231.66,554.25,543.63,2025-12,0,0,15,4368.45
CMD100057,2025-11-03,C0026,Douala,Mode,Produit_Mode_18,69.6,2,0.18,7.5,Paiement à la livraison,Google Ads,3.74,Annulée,114.14,51.36,40.12,2025-11,0,1,26,4790.2
CMD100058,2025-07-12,C0394,Dakar,Beauté,Produit_Beauté_11,15.64,2,0.02,3.87,Virement,Google Ads,3.45,Livrée,30.65,13.79,6.47,2025-07,0,0,18,4602.57
CMD100059,2025-10-22,C0218,Douala,Mode,Produit_Mode_35,15.11,2,0.1,5.45,Mobile Money,Google Ads,5.93,Livrée,27.2,12.24,0.86,2025-10,0,0,16,5131.57
CMD100060,2025-07-10,C1192,Abidjan,Électronique,Produit_Électronique_9,567.49,2,0.17,4.92,Paiement à la livraison,Instagram Ads,8.3,Livrée,942.03,423.91,410.69,2025-07,0,0,1,942.03
CMD100061,2025-07-11,C0020,Cotonou,Mode,Produit_Mode_44,38.94,2,0.09,9.86,Mobile Money,Instagram Ads,13.97,Livrée,70.87,31.89,8.06,2025-07,0,0,10,2203.3
CMD100062,2025-09-02,C0724,Abidjan,Électronique,Produit_Électronique_40,330.79,2,0.09,3.5,Paiement à la livraison,Google Ads,4.4,Livrée,602.04,270.92,263.02,2025-09,0,0,4,1204.65
CMD100063,2025-08-09,C0484,Kinshasa,Mode,Produit_Mode_27,51.33,1,0.18,9.46,Mobile Money,Google Ads,3.44,Livrée,42.09,18.94,6.04,2025-08,0,0,3,1373.76
CMD100064,2025-07-07,C0170,Douala,Mode,Produit_Mode_18,28.78,1,0.1,8.08,Mobile Money,Instagram Ads,8.22,Livrée,25.9,11.65,-4.65,2025-07,0,0,16,5948.21
CMD100065,2025-08-10,C0221,Douala,Mode,Produit_Mode_15,7.92,3,0.08,9.93,Paiement à la livraison,Google Ads,5.04,Retournée,21.86,9.84,-5.13,2025-08,1,0,13,2791.37
CMD100066,2025-08-21,C0942,Abidjan,Électronique,Produit_Électronique_15,422.02,1,0.25,7.32,Mobile Money,Instagram Ads,7.02,Livrée,316.52,142.43,128.09,2025-08,0,0,4,580.73
CMD100067,2025-07-07,C0816,Abidjan,Mode,Produit_Mode_50,45.3,1,0.22,6.32,Carte,Email,1.57,Livrée,35.33,15.9,8.01,2025-07,0,0,2,59.31
CMD100068,2025-09-10,C0260,Douala,Mode,Produit_Mode_2,21.84,2,0.28,4.68,Virement,Email,0.68,Livrée,31.45,14.15,8.79,2025-09,0,0,17,4891.16
CMD100069,2025-07-30,C0534,Lomé,Électronique,Produit_Électronique_3,206.39,1,0.07,8.23,Virement,Email,2.0,Livrée,191.94,86.37,76.14,2025-07,0,0,2,242.3
CMD100070,2025-07-28,C0176,Kinshasa,Électronique,Produit_Électronique_28,393.79,2,0.26,8.38,Virement,Instagram Ads,6.11,Livrée,582.81,262.26,247.77,2025-07,0,0,22,4778.52
CMD100071,2025-12-03,C0236,Kinshasa,Électronique,Produit_Électronique_17,620.91,1,0.06,3.45,Mobile Money,Google Ads,4.26,Livrée,583.66,262.65,254.94,2025-12,0,0,19,6392.08
CMD100072,2025-07-12,C0003,Douala,Maison,Produit_Maison_24,84.37,2,0.09,6.74,Mobile Money,Google Ads,4.28,Livrée,153.55,69.1,58.08,2025-07,0,0,26,9516.06
CMD100073,2025-10-19,C0340,Libreville,Électronique,Produit_Électronique_43,121.03,1,0.07,7.89,Virement,Influenceur,10.79,Livrée,112.56,50.65,31.97,2025-10,0,0,22,5145.74
CMD100074,2025-08-01,C0615,Libreville,Électronique,Produit_Maison_21,80.42,1,0.1,6.86,Paiement à la livraison,Instagram Ads,13.37,Livrée,72.38,32.57,12.34,2025-08,0,0,3,743.81
CMD100075,2025-10-12,C1135,Dakar,Mode,Produit_Mode_43,38.11,2,0.05,4.77,Paiement à la livraison,Google Ads,5.69,Livrée,72.41,32.58,22.12,2025-10,0,0,4,1523.95
CMD100076,2025-10-06,C1848,Dakar,Mode,Produit_Mode_26,17.46,3,0.09,6.64,Virement,Instagram Ads,9.98,Livrée,47.67,21.45,4.83,2025-10,0,0,2,86.1
CMD100077,2025-11-18,C0622,Kinshasa,Beauté,Produit_Beauté_38,22.91,1,0.1,3.48,Paiement à la livraison,Email,1.34,Livrée,20.62,9.28,4.46,2025-11,0,0,1,20.62
CMD100078,2025-12-03,C0952,Abidjan,Mode,Produit_Mode_33,19.56,3,0.17,4.35,Mobile Money,Instagram Ads,11.25,Livrée,48.7,21.92,6.32,2025-12,0,0,2,139.11
CMD100079,2025-10-30,C1965,Douala,Électronique,Produit_Beauté_19,22.03,2,0.04,9.57,Carte,Email,0.73,Livrée,42.3,19.03,8.73,2025-10,0,0,5,1228.68
CMD100080,2025-11-09,C1268,Kinshasa,Mode,Produit_Mode_44,23.34,3,0.26,3.57,Mobile Money,Influenceur,8.06,Livrée,51.81,23.31,11.68,2025-11,0,0,1,51.81
CMD100081,2025-09-18,C0101,Douala,Mode,Produit_Mode_40,66.28,1,0.09,7.78,Paiement à la livraison,Google Ads,3.5,Retournée,60.31,27.14,15.86,2025-09,1,0,19,4670.94
CMD100082,2025-07-19,C0322,Cotonou,Maison,Produit_Maison_32,185.86,1,0.03,2.98,Paiement à la livraison,Email,1.45,Livrée,180.28,81.13,76.7,2025-07,0,0,20,3453.5
CMD100083,2025-10-11,C0335,Dakar,Maison,Produit_Maison_50,79.72,2,0.08,4.14,Carte,Influenceur,13.44,Livrée,146.68,66.01,48.43,2025-10,0,0,11,2542.68
CMD100084,2025-10-17,C0356,Abidjan,Mode,Produit_Mode_36,8.77,3,0.24,8.4,Carte,Influenceur,18.31,Livrée,20.0,9.0,-17.71,2025-10,0,0,20,6580.0
CMD100085,2025-09-02,C0248,Kinshasa,Mode,Produit_Mode_43,65.45,2,0.22,3.06,Paiement à la livraison,Google Ads,6.23,Livrée,102.1,45.94,36.65,2025-09,0,0,18,6660.07
CMD100086,2025-11-13,C1219,Dakar,Électronique,Produit_Maison_40,158.01,1,0.05,2.85,Paiement à la livraison,Google Ads,5.49,Livrée,150.11,67.55,59.21,2025-11,0,0,2,178.89
CMD100087,2025-11-07,C0280,Abidjan,Électronique,Produit_Électronique_48,464.75,3,0.06,5.35,Mobile Money,Influenceur,18.63,Livrée,1310.6,589.77,565.79,2025-11,0,0,22,6178.2
CMD100088,2025-10-30,C0384,Douala,Mode,Produit_Mode_41,41.68,3,0.15,6.53,Paiement à la livraison,Instagram Ads,7.89,Livrée,106.28,47.83,33.41,2025-10,0,0,19,6201.99
CMD100089,2025-08-31,C0039,Dakar,Mode,Produit_Mode_18,42.98,2,0.17,8.77,Mobile Money,Instagram Ads,7.7,Livrée,71.35,32.11,15.64,2025-08,0,0,18,4204.13
CMD100090,2025-09-24,C0276,Kinshasa,Maison,Produit_Maison_15,100.8,1,0.23,8.55,Mobile Money,Instagram Ads,9.95,Livrée,77.62,34.93,16.43,2025-09,0,0,17,5114.3
CMD100091,2025-10-07,C1446,Dakar,Beauté,Produit_Beauté_27,43.39,2,0.08,7.52,Paiement à la livraison,Instagram Ads,8.15,Livrée,79.84,35.93,20.26,2025-10,0,0,8,3555.66
CMD100092,2025-09-23,C0212,Kinshasa,Mode,Produit_Mode_25,59.27,1,0.26,9.55,Paiement à la livraison,Google Ads,4.11,Retournée,43.86,19.74,6.08,2025-09,1,0,21,6951.38
CMD100093,2025-11-27,C0040,Dakar,Électronique,Produit_Électronique_31,482.68,3,0.06,3.54,Paiement à la livraison,Influenceur,15.7,Livrée,1361.16,612.52,593.28,2025-11,0,0,20,5153.31
CMD100094,2025-07-02,C0611,Kinshasa,Électronique,Produit_Électronique_35,478.83,3,0.1,5.85,Paiement à la livraison,Email,1.48,Livrée,1292.84,581.78,574.45,2025-07,0,0,3,1415.6
CMD100095,2025-11-17,C1838,Douala,Maison,Produit_Maison_32,118.31,2,0.01,7.01,Paiement à la livraison,Google Ads,6.95,Livrée,234.25,105.41,91.45,2025-11,0,0,4,433.67
CMD100096,2025-07-08,C0342,Dakar,Maison,Produit_Maison_47,123.29,3,0.05,6.65,Paiement à la livraison,Instagram Ads,5.53,Livrée,351.38,158.12,145.94,2025-07,0,0,8,3080.72
CMD100097,2025-08-12,C1883,Abidjan,Électronique,Produit_Électronique_26,527.86,2,0.04,4.3,Carte,Email,0.86,Retournée,1013.49,456.07,450.91,2025-08,1,0,1,1013.49
CMD100098,2025-11-29,C0013,Kinshasa,Mode,Produit_Mode_9,39.48,1,0.08,9.86,Paiement à la livraison,Instagram Ads,14.56,Livrée,36.32,16.34,-8.08,2025-11,0,0,13,2969.36
CMD100099,2025-10-27,C0133,Dakar,Maison,Produit_Maison_30,129.37,2,0.02,6.86,Mobile Money,Google Ads,7.71,Livrée,253.57,114.11,99.54,2025-10,0,0,18,4089.27
CMD100100,2025-09-22,C0194,Kinshasa,Mode,Produit_Mode_17,32.24,1,0.26,6.78,Paiement à la livraison,Influenceur,12.29,Livrée,23.86,10.74,-8.33,2025-09,0,0,16,5817.63
CMD100101,2025-07-21,C0383,Kinshasa,Mode,Produit_Mode_15,31.02,3,0.22,6.3,Virement,Google Ads,4.12,Livrée,72.59,32.67,22.25,2025-07,0,0,16,4276.43
CMD100102,2025-12-14,C0333,Douala,Beauté,Produit_Beauté_16,20.1,1,0.26,4.25,Carte,Instagram Ads,5.35,Annulée,14.87,6.69,-2.91,2025-12,0,1,15,4237.36
CMD100103,2025-08-21,C1272,Kinshasa,Électronique,Produit_Électronique_31,353.48,2,0.05,8.81,Mobile Money,Google Ads,6.42,Livrée,671.61,302.22,286.99,2025-08,0,0,1,671.61
CMD100104,2025-12-19,C0111,Douala,Mode,Produit_Mode_11,58.08,2,0.27,3.26,Virement,Email,1.28,Livrée,84.8,38.16,33.62,2025-12,0,0,12,4416.22
CMD100105,2025-12-03,C1531,Abidjan,Électronique,Produit_Électronique_20,441.18,1,0.07,8.97,Mobile Money,Google Ads,3.79,Livrée,410.3,184.64,171.88,2025-12,0,0,2,658.47
CMD100106,2025-07-28,C0159,Lomé,Électronique,Produit_Électronique_26,355.56,2,0.0,2.67,Paiement à la livraison,Influenceur,7.09,Livrée,711.12,320.0,310.24,2025-07,0,0,20,5692.76
CMD100107,2025-12-31,C0303,Douala,Mode,Produit_Mode_45,27.5,3,0.05,5.46,Carte,Instagram Ads,13.19,Livrée,78.38,35.27,16.62,2025-12,0,0,16,4722.76
CMD100108,2025-09-16,C1229,Abidjan,Beauté,Produit_Beauté_23,29.46,2,0.07,6.66,Carte,Influenceur,5.08,Livrée,54.8,24.66,12.92,2025-09,0,0,2,1025.78
CMD100109,2025-11-14,C0189,Dakar,Mode,Produit_Mode_1,29.44,3,0.3,5.07,Virement,Influenceur,13.51,Retournée,61.82,27.82,9.24,2025-11,1,0,18,3327.91
CMD100110,2025-10-16,C0216,Lomé,Électronique,Produit_Électronique_41,536.39,3,0.04,3.31,Virement,Google Ads,5.13,Livrée,1544.8,695.16,686.72,2025-10,0,0,18,5785.17
CMD100111,2025-10-26,C0891,Dakar,Beauté,Produit_Beauté_40,22.09,2,0.02,7.85,Virement,Google Ads,7.82,Livrée,43.3,19.48,3.81,2025-10,0,0,10,2686.28
CMD100112,2025-11-15,C0952,Cotonou,Maison,Produit_Maison_21,46.13,2,0.02,8.91,Virement,Influenceur,9.9,Livrée,90.41,40.68,21.87,2025-11,0,0,2,139.11
CMD100113,2025-09-01,C0177,Kinshasa,Mode,Produit_Mode_16,31.5,2,0.07,8.37,Paiement à la livraison,Instagram Ads,6.54,Livrée,58.59,26.37,11.46,2025-09,0,0,15,2555.31
CMD100114,2025-10-27,C0342,Libreville,Électronique,Produit_Électronique_32,596.57,1,0.17,4.48,Carte,Instagram Ads,5.64,Livrée,495.15,222.82,212.7,2025-10,0,0,8,3080.72
CMD100115,2025-09-22,C0108,Kinshasa,Mode,Produit_Mode_22,62.52,2,0.15,9.62,Virement,Google Ads,6.28,Livrée,106.28,47.83,31.93,2025-09,0,0,20,5690.27
CMD100116,2025-09-10,C1436,Dakar,Électronique,Produit_Maison_34,95.18,1,0.0,9.53,Carte,Email,0.82,Livrée,95.18,42.83,32.48,2025-09,0,0,5,764.75
CMD100117,2025-08-18,C0368,Douala,Électronique,Produit_Électronique_45,452.41,1,0.06,7.52,Mobile Money,Instagram Ads,5.79,Livrée,425.27,191.37,178.06,2025-08,0,0,30,6126.18
CMD100118,2025-10-30,C1005,Kinshasa,Beauté,Produit_Beauté_6,26.24,2,0.06,7.0,Carte,Email,0.95,Livrée,49.33,22.2,14.25,2025-10,0,0,3,2311.95
CMD100119,2025-09-14,C0354,Dakar,Beauté,Produit_Beauté_31,32.4,3,0.27,6.21,Virement,Instagram Ads,10.48,Livrée,70.96,31.93,15.24,2025-09,0,0,16,5550.37
CMD100120,2025-11-19,C0217,Kinshasa,Maison,Produit_Maison_23,78.74,3,0.0,6.34,Virement,Email,0.53,Livrée,236.22,106.3,99.43,2025-11,0,0,19,2286.46
CMD100121,2025-12-27,C0156,Kinshasa,Mode,Produit_Mode_47,32.06,3,0.07,7.82,Carte,Google Ads,5.31,Livrée,89.45,40.25,27.12,2025-12,0,0,23,7029.91
CMD100122,2025-08-19,C0380,Abidjan,Beauté,Produit_Beauté_13,15.19,2,0.06,9.21,Mobile Money,Influenceur,17.97,Livrée,28.56,12.85,-14.33,2025-08,0,0,18,2666.88
CMD100123,2025-08-25,C0566,Kinshasa,Mode,Produit_Mode_7,18.03,3,0.1,8.21,Virement,Instagram Ads,8.84,Livrée,48.68,21.91,4.86,2025-08,0,0,5,681.85
CMD100124,2025-08-19,C0184,Dakar,Électronique,Produit_Mode_46,19.22,2,0.26,6.12,Carte,Instagram Ads,9.92,Livrée,28.45,12.8,-3.24,2025-08,0,0,21,7941.49
CMD100125,2025-11-14,C0023,Douala,Mode,Produit_Mode_41,61.66,2,0.13,6.79,Mobile Money,Google Ads,3.05,Livrée,107.29,48.28,38.44,2025-11,0,0,13,1633.37
CMD100126,2025-11-03,C0006,Kinshasa,Mode,Produit_Mode_31,46.5,2,0.18,6.94,Paiement à la livraison,Instagram Ads,8.37,Livrée,76.26,34.32,19.01,2025-11,0,0,17,2321.67
CMD100127,2025-10-21,C0026,Kinshasa,Beauté,Produit_Beauté_8,22.6,1,0.04,8.91,Paiement à la livraison,Google Ads,6.53,Livrée,21.7,9.76,-5.68,2025-10,0,0,26,4790.2
CMD100128,2025-07-17,C0037,Douala,Mode,Produit_Mode_10,35.18,2,0.08,2.33,Mobile Money,Instagram Ads,9.52,Livrée,64.73,29.13,17.28,2025-07,0,0,16,3109.25
CMD100129,2025-11-22,C0174,Brazzaville,Électronique,Produit_Électronique_36,345.88,3,0.29,5.91,Carte,Instagram Ads,11.39,Livrée,736.72,331.52,314.22,2025-11,0,0,20,5401.42
CMD100130,2025-10-15,C1619,Kinshasa,Beauté,Produit_Beauté_29,17.49,3,0.1,4.04,Paiement à la livraison,Instagram Ads,12.31,Livrée,47.22,21.25,4.9,2025-10,0,0,5,1921.85
CMD100131,2025-10-22,C0301,Kinshasa,Beauté,Produit_Beauté_37,30.15,2,0.05,9.45,Virement,Google Ads,5.85,Livrée,57.28,25.78,10.48,2025-10,0,0,14,3593.92
CMD100132,2025-12-06,C0378,Dakar,Beauté,Produit_Beauté_41,30.11,1,0.06,8.93,Mobile Money,Google Ads,6.02,Livrée,28.3,12.74,-2.21,2025-12,0,0,22,5379.61
CMD100133,2025-08-24,C0041,Lomé,Maison,Produit_Maison_36,74.28,1,0.07,8.46,Mobile Money,Email,1.11,Livrée,69.08,31.09,21.52,2025-08,0,0,18,4298.59
CMD100134,2025-07-20,C0209,Lomé,Beauté,Produit_Beauté_19,35.32,2,0.1,5.11,Paiement à la livraison,Email,1.05,Livrée,63.58,28.61,22.45,2025-07,0,0,15,6076.34
